Title,cast,crew,genres,final_tag,movie_id
Final Portrait,Geoffrey Rush,Stanley Tucci,Drama History,"Paris, 1964. The Swiss sculptor and painter Alberto Giacometti, one of the most accomplished and respected artists of his generation, asks his friend, the American writer James Lord, to sit for a portrait, assuring him that it will take no longer than two or three hours, an afternoon at the most.en",345317.0
Midnight Sun,Bella Thorne,Scott Speer,Romance Drama,"Katie, a 17-year-old, has been sheltered since childhood and confined to her house during the day by a rare disease that makes even the smallest amount of sunlight deadly. Fate intervenes when she meets Charlie and they embark on a summer romance.en",419478.0
Followers,Ian Longen,Ryan Justice,Comedy Horror,"A struggling social media influencer discovers the house he shares is haunted. The ghost brings him and his friends fame and fortune, but with deadly consequences.en",805678.0
Ready Player One,Tye Sheridan,Steven Spielberg,Science Fiction Adventure Action,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.en",333339.0
Tyler Perry's Acrimony,Taraji P. Henson,Tyler Perry,Thriller,A faithful wife takes action when it becomes clear to her that her devious husband has betrayed her.en,464502.0
God's Not Dead: A Light in Darkness,David A. R. White,Michael Mason,Drama,"Pastor Dave  responds to the unimaginable tragedy of having his church, located on the grounds of the local university, burned down.en",454286.0
Gemini,Lola Kirke,Aaron Katz,Science Fiction Action Thriller,"Henry Brogan is an elite 51-year-old assassin who's ready to call it quits after completing his 72nd job. His plans get turned upside down when he becomes the target of a mysterious operative who can seemingly predict his every move. To his horror, Brogan soon learns that the man who's trying to kill him is a younger, faster, cloned version of himself.en",453405.0
The Last Movie Star,Burt Reynolds,Adam Rifkin,Drama,"An aging screen icon gets lured into accepting an award at a rinky-dink film festival in Nashville, Tenn., sending him on a hilarious fish-out-of-water adventure and an unexpectedly poignant journey into his past.en",451204.0
A Quiet Place,Scott Beck,John Krasinski,Horror Drama Science Fiction,A family is forced to live in silence while hiding from creatures that hunt by sound.en,447332.0
Blockers,Leslie Mann,Kay Cannon,Comedy,"When three parents discover that each of their daughters have a pact to lose their virginity at prom, they launch a covert one-night operation to stop the teens from sealing the deal.en",437557.0
You Were Never Really Here,Joaquin Phoenix,Lynne Ramsay,Thriller Drama Crime,"A traumatised veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, his nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.en",398181.0
Chappaquiddick,Jason Clarke,John Curran,History Drama Thriller,"Ted Kennedy's life and political career become derailed in the aftermath of a fatal car accident in 1969 that claims the life of a young campaign strategist, Mary Jo Kopechne.en",432301.0
Pandas,Kristen Bell,"Drew Fellman, David Douglas",Documentary,"In the mountains of Sichuan, China, a researcher forms a bond with Qian Qian, a panda who is about to experience nature for the first time.en",497802.0
Lean on Pete,Charlie Plummer,Andrew Haigh,Drama Adventure,"Charley Thompson, a teenager living with his single father, gets a summer job working for horse trainer Del Montgomery. Bonding with an aging racehorse named Lean on Pete, Charley is horrified to learn he is bound for slaughter, and so he steals the horse, and the duo embark on an odyssey across the new American frontier.en",407890.0
The Miracle Season,Helen Hunt,Sean McNamara,Drama,"After the tragic death of star volleyball player Caroline ""Line"" Found, a team of dispirited high school girls must band together under the guidance of their tough-love coach in hopes of winning the state championship!en",425373.0
Beirut,Jon Hamm,Brad Anderson,Action Thriller Drama,"In 1980s Beirut, Mason Skiles is a former U.S. diplomat who is called back into service to save a colleague from the group that is possibly responsible for his own family's death. Meanwhile, a CIA field agent who is working under cover at the American embassy is tasked with keeping Mason alive and ensuring that the mission is a success.en",399248.0
Rampage,Dwayne Johnson,Brad Peyton,Action Adventure Science Fiction,"Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend.en",427641.0
Truth or Dare,Michael Reisz,Jeff Wadlow,Thriller Horror,"A harmless game of ""Truth or Dare"" among friends turns deadly when someone—or something—begins to punish those who tell a lie—or refuse the dare.en",460019.0
The Rider,Brady Jandreau,Chloé Zhao,Western Drama,"Once a rising star of the rodeo circuit, and a gifted horse trainer, young cowboy Brady is warned that his riding days are over after a horse crushed his skull at a rodeo. In an attempt to regain control of his own fate, Brady undertakes a search for a new identity and what it means to be a man in the heartland of the United States.en",453278.0
Sgt. Stubby: An American Hero,Mike Stokey (screenplay); Logan Lerman,Richard Lanni,Animation Adventure Family History War,The true story of the most decorated dog in American military history -- Sgt. Stubby -- and the enduring bonds he forged with his brothers-in-arms in the trenches of World War I.en,433694.0
I Feel Pretty,Amy Schumer,"Abby Kohn, Marc Silverstein",Comedy Romance,A head injury causes a woman to develop an extraordinary amount of confidence and believe she's drop dead gorgeous.en,460668.0
Super Troopers 2,Jay Chandrasekhar,Jay Chandrasekhar,Comedy Crime Mystery,"When an international border dispute arises between the U.S. and Canada, the Super Troopers- Mac, Thorny, Foster, Rabbit and Farva, are called in to set up a new Highway Patrol station in the disputed area.en",50022.0
Traffik,Paula Patton,Deon Taylor,Horror Thriller,"A couple off for a romantic weekend in the mountains are accosted by a biker gang. Alone in the mountains, Brea and John must defend themselves against the gang, who will stop at nothing to protect their secrets.en",473149.0
The House of Tomorrow,Asa Butterfield,Peter Livolsi,Drama Comedy,"The film tells futurist, architect, and inventor R. Buckminster Fuller's incredible story through two teens hoping to get laid, become punk gods, and survive high school.en",433503.0
Liz and the Blue Bird,Atsumi Tanezaki,Naoko Yamada,Animation Drama Music,"Two girls grow closer as they practice for their last duet before graduating, a piece called ""Liz And The Blue Bird"".ja",482150.0
Avengers: Infinity War,Robert Downey Jr.,Anthony Russo and Joe Russo,Adventure Action Science Fiction,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.en",299536.0
Disobedience,Rebecca Lenkiewicz (screenplay); Rachel Weisz,Sebastián Lelio,Drama Romance,"A woman learns about the death of her Orthodox Jewish father, a rabbi. She returns home and has romantic feelings rekindled for her best childhood friend, who is now married to her cousin.en",419743.0
Backstabbing for Beginners,Ben Kingsley,Per Fly,Thriller Drama History,An idealistic young employee at the U.N. investigates the grizzly murder of his predecessor – and uncovers a vast global conspiracy that may involve his own boss.en,476678.0
Kings,Halle Berry,Deniz Gamze Ergüven,Action Adventure Thriller War,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.en",476669.0
Overboard,,"Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez",Romance Comedy,"A spoiled, wealthy yacht owner is thrown overboard and becomes the target of revenge from his mistreated employee.en",454619.0
Tully,Charlize Theron,Jason Reitman,Comedy Drama,"Marlo, a mother of three, including a newborn, is gifted a night nanny by her brother. Hesitant at first, she quickly forms a bond with the thoughtful, surprising, and sometimes challenging nanny named Tully.en",400579.0
